sample_id,generator,target_risk_level,generator_target_cell,source_path,feature_01_weather_cloudiness,feature_02_weather_precipitation,feature_03_weather_precipitation_deposits,feature_04_weather_wind_intensity,feature_05_weather_fog_density,feature_06_weather_fog_distance,feature_07_weather_sun_altitude_angle,feature_08_weather_wetness,feature_09_lead_vehicle_initial_distance_m,feature_10_lead_vehicle_brake_trigger_seconds,feature_11_lead_vehicle_brake_intensity,feature_12_pedestrian_forward_distance_m,feature_13_pedestrian_roadside_offset_m,feature_14_pedestrian_trigger_seconds,feature_15_pedestrian_speed_mps,predicted_risk_mean,predicted_risk_std,predicted_risk_min,predicted_risk_max,robust_predicted_risk_score,bootstrap_top_k_frequency,nearest_observed_distance,nearest_collision_distance,nearest_non_collision_distance,collision_distance_margin,collision_affinity,collision_boundary_balance,collision_boundary_score,stable_high_score_base,high_uncertainty_base,collision_boundary_base,selection_channel,selection_order,selection_utility,selection_diversity_distance
cvae_critical_20260816_0044,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9602307692307693,0.9143000000000001,0.9183999999999999,0.808778947368421,0.9253764705882352,0.042122807017543853,0.294,0.9131,0.11108823529411763,0.13999999999999999,0.9422222222222222,0.137962962962963,0.23825000000000007,0.15333333333333332,0.7558333333333334,57.04014199900352,4.771264231012817,48.50839550749559,66.8609549444444,54.654509883497106,0.32,0.0558235127348825,0.05959756630865551,0.0558235127348825,-0.0037740535737730077,0.5692695224184892,0.8738625196876045,0.7053107820258955,0.8436848958333334,0.9186197916666666,0.9655598958333333,collision_boundary,1,0.7862180517010267,0.06885067517179978
cvae_high_20260815_0253,cvae,high,cvae__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_high.jsonl,0.8035538461538461,0.8701000000000001,0.7850625000000001,0.6378631578947368,0.7245764705882353,0.17715789473684213,0.26278,0.8000428571428572,0.38102941176470584,0.2736111111111111,0.8844444444444444,0.38874074074074066,0.42300000000000004,0.2171929824561403,0.6044999999999999,49.691890479094894,3.462425962860649,44.87351514021161,57.81192562962962,47.96067749766457,0.8,0.07632393489540262,0.08505243162800694,0.07632393489540262,-0.008728496732604313,0.44751867664859585,0.7321022066837053,0.5723892126050321,0.5515299479166667,0.5751953125,0.7874348958333334,collision_boundary,2,0.6336449000833237,0.018484917083285105
cvae_critical_20260816_0217,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9640461538461538,0.9170125,0.934925,0.7427894736842106,0.9460941176470589,0.03631578947368422,0.32752,0.9237714285714286,0.12432352941176472,0.14013888888888892,0.9288888888888888,0.14429629629629634,0.05800000000000005,0.15192982456140347,0.7693333333333333,56.53777563146303,4.403168311723311,47.87124460890653,65.79397990476184,54.336191475601375,0.22,0.04747359018789577,0.04747359018789577,0.05292579485606363,0.0054522046681678565,0.6384013304082116,0.8230107554170086,0.7248525099621892,0.8026692708333334,0.8541666666666666,0.9506510416666666,collision_boundary,3,0.7707732966788989,0.051262316727827835
cvae_critical_20260816_0062,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9683384615384615,0.9446625,0.9458500000000001,0.7652315789473685,0.9298352941176471,0.05252631578947368,0.09786000000000002,0.9198428571428571,0.11305882352941175,0.19375000000000006,0.9155555555555555,0.09162962962962963,0.13250000000000006,0.10947368421052629,0.8556666666666667,59.72956432623855,5.173285204656846,48.35714249118164,68.91087160978823,57.14292172391013,0.6,0.0479608299450837,0.09453141834889829,0.0479608299450837,-0.04657058840381459,0.409161260162095,0.18942056888685052,0.2783946096216029,0.9726236979166665,0.966796875,0.4744791666666667,high_uncertainty,1,0.7751624265175929,0.008624632587964733
cvae_high_20260815_0058,cvae,high,cvae__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_high.jsonl,0.8026,0.8629625000000001,0.7839124999999999,0.6467473684210526,0.7470235294117648,0.17584210526315788,0.21869999999999998,0.8049142857142856,0.38067647058823534,0.2794444444444445,0.8866666666666666,0.38333333333333336,0.46950000000000003,0.22736842105263158,0.6181666666666666,49.74516873299259,3.587419516713125,44.814254029100496,57.15619682936509,47.951458974636026,0.76,0.07473973824236767,0.08086441847733883,0.07473973824236767,-0.006124680234971161,0.46559183119466396,0.8034736091045914,0.6116295847811748,0.5503906249999999,0.6061197916666666,0.8295572916666666,high_uncertainty,2,0.4930145923050996,0.04059379485883145
cvae_critical_20260816_0163,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9546153846153845,0.93215,0.9227124999999999,0.8179894736842106,0.9231999999999999,0.03359649122807017,0.08671999999999996,0.9105428571428571,0.11497058823529414,0.1665277777777778,0.9222222222222222,0.10229629629629632,0.3779999999999999,0.1429824561403509,0.8486666666666666,58.40504092159131,5.03701587257444,47.49516235758379,67.82603246913577,55.886532985304086,0.5,0.06718800981644728,0.07617087060151015,0.06718800981644728,-0.008982860785062871,0.48671535556940104,0.7254794127079791,0.5942238385612313,0.9316080729166666,0.9527994791666666,0.9283203124999999,high_uncertainty,3,0.7653261926271502,0.015433046469084196
cvae_critical_20260816_0183,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9461076923076923,0.9274749999999999,0.9167500000000001,0.828221052631579,0.9333647058823529,0.031543859649122805,0.07186,0.9116,0.11199999999999999,0.13819444444444445,0.9377777777777777,0.1461111111111111,0.37375,0.1429824561403509,0.8528333333333333,59.62883351492866,4.837975863340805,48.44106477910051,68.45219367283946,57.20984558325826,0.7,0.054383258723757905,0.06688807144368429,0.054383258723757905,-0.012504812719926386,0.5313568007311927,0.6397049713418613,0.5830193710195664,0.9777018229166666,0.95166015625,0.9179036458333334,stable_high_score,1,0.793038110078085,0.054383258723757905
cvae_high_20260815_0159,cvae,high,cvae__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_high.jsonl,0.8489846153846153,0.8840625,0.8192625,0.6674526315789474,0.7619294117647059,0.189,0.18415999999999996,0.8307714285714285,0.3253529411764706,0.26541666666666675,0.8844444444444444,0.33581481481481484,0.3707499999999999,0.1787719298245614,0.6416666666666666,51.6313333498172,4.598120893645737,45.58254655599648,64.90477749294533,49.332272902994326,0.82,0.06580483338071265,0.0884794624716475,0.06580483338071265,-0.022674629090934845,0.43325266697888903,0.44482422758112256,0.43900032225084484,0.5996744791666666,0.79296875,0.6776692708333334,stable_high_score,2,0.5063935655384102,0.13326991102538416
cvae_critical_20260816_0052,cvae,critical,cvae__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/cvae_critical.jsonl,0.9625384615384615,0.9454625,0.9411125,0.7782736842105263,0.9266117647058824,0.056631578947368415,0.08527999999999998,0.9171,0.11738235294117647,0.18791666666666662,0.9066666666666666,0.11348148148148149,0.1279999999999999,0.10228070175438596,0.8595,59.59587139168828,4.728115404022072,48.82325870414462,68.10753866269829,57.23181368967724,0.68,0.04500112368769509,0.09528358486467907,0.04500112368769509,-0.05028246117698398,0.4062622169736397,0.16589566004408435,0.25960958887493923,0.9783854166666666,0.94140625,0.44023437500000007,stable_high_score,3,0.7964870741031906,0.06889370384928638
gmm_critical_20260816_0201,gmm,critical,gmm__critical,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_215124/candidate_pools/gmm_critical.jsonl,0.9573230769230769,0.8960375,0.9516500000000001,0.9553157894736841,0.8920823529411764,0.04494736842105264,0.15206000000000003,0.8940571428571429,0.2603235294117647,0.03138888888888888,0.9488888888888889,0.30074074074074075,0.33099999999999996,0.09754385964912278,0.8991666666666666,59.39141872182782,5.067039293216074,48.18905789109351,69.96288516005292,56.857899075219784,0.4,0.062186625026760305,0.06458323605568218,0.062186625026760305,-0.0023966110289218787,0.5430613686007413,0.9179415461896151,0.7060443274817899,0.9560221354166667,0.9627278645833334,0.9812499999999998,collision_boundary,1,0.7978803475446421,0.06440173772321069
